id,source_type,title,short_desc,url,tags,author,stars_or_downloads,updated_at
hf_FacebookAI/roberta-base,hf_model,FacebookAI/roberta-base,,https://huggingface.co/FacebookAI/roberta-base,"transformers, pytorch, tf, jax, rust, safetensors, roberta, fill-mask, exbert, en, dataset:bookcorpus, dataset:wikipedia, arxiv:1907.11692, arxiv:1806.02847, license:mit, autotrain_compatible, endpoints_compatible, region:us",,15848319,2025-10-29T15:01:34.726299Z
hf_pyannote/segmentation-3.0,hf_model,pyannote/segmentation-3.0,,https://huggingface.co/pyannote/segmentation-3.0,"pyannote-audio, pytorch, pyannote, pyannote-audio-model, audio, voice, speech, speaker, speaker-diarization, speaker-change-detection, speaker-segmentation, voice-activity-detection, overlapped-speech-detection, resegmentation, license:mit, region:us",,15656526,2025-10-29T15:01:34.726299Z
hf_Bingsu/adetailer,hf_model,Bingsu/adetailer,,https://huggingface.co/Bingsu/adetailer,"ultralytics, pytorch, dataset:wider_face, dataset:skytnt/anime-segmentation, doi:10.57967/hf/3633, license:apache-2.0, region:us",,14534477,2025-10-29T15:01:34.726299Z
hf_distilbert/distilbert-base-uncased,hf_model,distilbert/distilbert-base-uncased,,https://huggingface.co/distilbert/distilbert-base-uncased,"transformers, pytorch, tf, jax, rust, safetensors, distilbert, fill-mask, exbert, en, dataset:bookcorpus, dataset:wikipedia, arxiv:1910.01108, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",,14077710,2025-10-29T15:01:34.726299Z
hf_sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,hf_model,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,,https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,"sentence-transformers, pytorch, tf, onnx, safetensors, openvino, bert, feature-extraction, sentence-similarity, transformers, multilingual, ar, bg, ca, cs, da, de, el, en, es, et, fa, fi, fr, gl, gu, he, hi, hr, hu, hy, id, it, ja, ka, ko, ku, lt, lv, mk, mn, mr, ms, my, nb, nl, pl, pt, ro, ru, sk, sl, sq, sr, sv, th, tr, uk, ur, vi, arxiv:1908.10084, license:apache-2.0, autotrain_compatible, text-embeddings-inference, endpoints_compatible, region:us",,14065308,2025-10-29T15:01:34.726299Z
hf_pyannote/wespeaker-voxceleb-resnet34-LM,hf_model,pyannote/wespeaker-voxceleb-resnet34-LM,,https://huggingface.co/pyannote/wespeaker-voxceleb-resnet34-LM,"pyannote-audio, pytorch, pyannote, pyannote-audio-model, wespeaker, audio, voice, speech, speaker, speaker-recognition, speaker-verification, speaker-identification, speaker-embedding, dataset:voxceleb, license:cc-by-4.0, region:us",,14007514,2025-10-29T15:01:34.726299Z
hf_prajjwal1/bert-tiny,hf_model,prajjwal1/bert-tiny,,https://huggingface.co/prajjwal1/bert-tiny,"transformers, pytorch, BERT, MNLI, NLI, transformer, pre-training, en, arxiv:1908.08962, arxiv:2110.01518, license:mit, endpoints_compatible, region:us",,13537945,2025-10-29T15:01:34.726299Z
hf_facebook/esm2_t33_650M_UR50D,hf_model,facebook/esm2_t33_650M_UR50D,,https://huggingface.co/facebook/esm2_t33_650M_UR50D,"transformers, pytorch, tf, safetensors, esm, fill-mask, license:mit, autotrain_compatible, endpoints_compatible, region:us",,13460715,2025-10-29T15:01:34.726299Z
hf_pyannote/speaker-diarization-3.1,hf_model,pyannote/speaker-diarization-3.1,,https://huggingface.co/pyannote/speaker-diarization-3.1,"pyannote-audio, pyannote, pyannote-audio-pipeline, audio, voice, speech, speaker, speaker-diarization, speaker-change-detection, voice-activity-detection, overlapped-speech-detection, automatic-speech-recognition, arxiv:2111.14448, arxiv:2012.01477, license:mit, endpoints_compatible, region:us",,13217021,2025-10-29T15:01:34.726299Z
hf_openai-community/gpt2,hf_model,openai-community/gpt2,,https://huggingface.co/openai-community/gpt2,"transformers, pytorch, tf, jax, tflite, rust, onnx, safetensors, gpt2, text-generation, exbert, en, doi:10.57967/hf/0039, license:mit, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",,11144960,2025-10-29T15:01:34.726299Z
hf_openai/clip-vit-large-patch14,hf_model,openai/clip-vit-large-patch14,,https://huggingface.co/openai/clip-vit-large-patch14,"transformers, pytorch, tf, jax, safetensors, clip, zero-shot-image-classification, vision, arxiv:2103.00020, arxiv:1908.04913, endpoints_compatible, region:us",,10492667,2025-10-29T15:01:34.726299Z
hf_kyutai/moshiko-pytorch-bf16,hf_model,kyutai/moshiko-pytorch-bf16,,https://huggingface.co/kyutai/moshiko-pytorch-bf16,"moshi, safetensors, en, license:cc-by-4.0, region:us",,9822815,2025-10-29T15:01:34.726299Z
hf_omni-research/Tarsier2-Recap-7b,hf_model,omni-research/Tarsier2-Recap-7b,,https://huggingface.co/omni-research/Tarsier2-Recap-7b,"safetensors, video LLM, arxiv:2501.07888, license:apache-2.0, region:us",,9762856,2025-10-29T15:01:34.726299Z
hf_FacebookAI/xlm-roberta-base,hf_model,FacebookAI/xlm-roberta-base,,https://huggingface.co/FacebookAI/xlm-roberta-base,"transformers, pytorch, tf, jax, onnx, safetensors, xlm-roberta, fill-mask, exbert, multilingual, af, am, ar, as, az, be, bg, bn, br, bs, ca, cs, cy, da, de, el, en, eo, es, et, eu, fa, fi, fr, fy, ga, gd, gl, gu, ha, he, hi, hr, hu, hy, id, is, it, ja, jv, ka, kk, km, kn, ko, ku, ky, la, lo, lt, lv, mg, mk, ml, mn, mr, ms, my, ne, nl, no, om, or, pa, pl, ps, pt, ro, ru, sa, sd, si, sk, sl, so, sq, sr, su, sv, sw, ta, te, th, tl, tr, ug, uk, ur, uz, vi, xh, yi, zh, arxiv:1911.02116, license:mit, autotrain_compatible, endpoints_compatible, region:us",,8678295,2025-10-29T15:01:34.726299Z
hf_facebook/contriever,hf_model,facebook/contriever,,https://huggingface.co/facebook/contriever,"transformers, pytorch, bert, arxiv:2112.09118, endpoints_compatible, region:us",,8167295,2025-10-29T15:01:34.726299Z
hf_Qwen/Qwen2.5-7B-Instruct,hf_model,Qwen/Qwen2.5-7B-Instruct,,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,"transformers, safetensors, qwen2, text-generation, chat, conversational, en, arxiv:2309.00071, arxiv:2407.10671, base_model:Qwen/Qwen2.5-7B, base_model:finetune:Qwen/Qwen2.5-7B, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",,7897741,2025-10-29T15:01:34.726299Z
hf_Qwen/Qwen3-0.6B,hf_model,Qwen/Qwen3-0.6B,,https://huggingface.co/Qwen/Qwen3-0.6B,"transformers, safetensors, qwen3, text-generation, conversational, arxiv:2505.09388, base_model:Qwen/Qwen3-0.6B-Base, base_model:finetune:Qwen/Qwen3-0.6B-Base, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",,7261136,2025-10-29T15:01:34.726299Z
hf_google-bert/bert-base-multilingual-cased,hf_model,google-bert/bert-base-multilingual-cased,,https://huggingface.co/google-bert/bert-base-multilingual-cased,"transformers, pytorch, tf, jax, safetensors, bert, fill-mask, multilingual, af, sq, ar, an, hy, ast, az, ba, eu, bar, be, bn, inc, bs, br, bg, my, ca, ceb, ce, zh, cv, hr, cs, da, nl, en, et, fi, fr, gl, ka, de, el, gu, ht, he, hi, hu, is, io, id, ga, it, ja, jv, kn, kk, ky, ko, la, lv, lt, roa, nds, lm, mk, mg, ms, ml, mr, mn, min, ne, new, nb, nn, oc, fa, pms, pl, pt, pa, ro, ru, sco, sr, scn, sk, sl, aze, es, su, sw, sv, tl, tg, th, ta, tt, te, tr, uk, ud, uz, vi, vo, war, cy, fry, pnb, yo, dataset:wikipedia, arxiv:1810.04805, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",,7056434,2025-10-29T15:01:34.726299Z
hf_BAAI/bge-m3,hf_model,BAAI/bge-m3,,https://huggingface.co/BAAI/bge-m3,"sentence-transformers, pytorch, onnx, xlm-roberta, feature-extraction, sentence-similarity, arxiv:2402.03216, arxiv:2004.04906, arxiv:2106.14807, arxiv:2107.05720, arxiv:2004.12832, license:mit, autotrain_compatible, text-embeddings-inference, endpoints_compatible, region:us",,6833227,2025-10-29T15:01:34.726299Z
hf_Qwen/Qwen2.5-VL-3B-Instruct,hf_model,Qwen/Qwen2.5-VL-3B-Instruct,,https://huggingface.co/Qwen/Qwen2.5-VL-3B-Instruct,"transformers, safetensors, qwen2_5_vl, image-to-text, multimodal, image-text-to-text, conversational, en, arxiv:2309.00071, arxiv:2409.12191, arxiv:2308.12966, text-generation-inference, endpoints_compatible, region:us",,6526541,2025-10-29T15:01:34.726299Z
hf_Gensyn/Qwen2.5-0.5B-Instruct,hf_model,Gensyn/Qwen2.5-0.5B-Instruct,,https://huggingface.co/Gensyn/Qwen2.5-0.5B-Instruct,"transformers, safetensors, qwen2, text-generation, chat, rl-swarm, gensyn, conversational, en, base_model:Qwen/Qwen2.5-0.5B, base_model:finetune:Qwen/Qwen2.5-0.5B, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",,6501589,2025-10-29T15:01:34.726299Z
hf_facebook/dinov2-base,hf_model,facebook/dinov2-base,,https://huggingface.co/facebook/dinov2-base,"transformers, pytorch, safetensors, dinov2, image-feature-extraction, dino, vision, arxiv:2304.07193, license:apache-2.0, region:us",,6483790,2025-10-29T15:01:34.726299Z
hf_Comfy-Org/Wan_2.2_ComfyUI_Repackaged,hf_model,Comfy-Org/Wan_2.2_ComfyUI_Repackaged,,https://huggingface.co/Comfy-Org/Wan_2.2_ComfyUI_Repackaged,"diffusion-single-file, comfyui, region:us",,6289938,2025-10-29T15:01:34.726299Z
hf_colbert-ir/colbertv2.0,hf_model,colbert-ir/colbertv2.0,,https://huggingface.co/colbert-ir/colbertv2.0,"transformers, pytorch, onnx, safetensors, bert, ColBERT, en, arxiv:2004.12832, arxiv:2007.00814, arxiv:2101.00436, arxiv:2112.01488, arxiv:2205.09707, license:mit, endpoints_compatible, region:us",,6195285,2025-10-29T15:01:34.726299Z
hf_BAAI/bge-small-en-v1.5,hf_model,BAAI/bge-small-en-v1.5,,https://huggingface.co/BAAI/bge-small-en-v1.5,"sentence-transformers, pytorch, onnx, safetensors, bert, feature-extraction, sentence-similarity, transformers, mteb, en, arxiv:2401.03462, arxiv:2312.15503, arxiv:2311.13534, arxiv:2310.07554, arxiv:2309.07597, license:mit, model-index, autotrain_compatible, text-embeddings-inference, endpoints_compatible, region:us",,6042989,2025-10-29T15:01:34.726299Z
hf_jinaai/jina-embeddings-v3,hf_model,jinaai/jina-embeddings-v3,,https://huggingface.co/jinaai/jina-embeddings-v3,"transformers, pytorch, onnx, safetensors, feature-extraction, sentence-similarity, mteb, sentence-transformers, custom_code, multilingual, af, am, ar, as, az, be, bg, bn, br, bs, ca, cs, cy, da, de, el, en, eo, es, et, eu, fa, fi, fr, fy, ga, gd, gl, gu, ha, he, hi, hr, hu, hy, id, is, it, ja, jv, ka, kk, km, kn, ko, ku, ky, la, lo, lt, lv, mg, mk, ml, mn, mr, ms, my, ne, nl, no, om, or, pa, pl, ps, pt, ro, ru, sa, sd, si, sk, sl, so, sq, sr, su, sv, sw, ta, te, th, tl, tr, ug, uk, ur, uz, vi, xh, yi, zh, arxiv:2409.10173, license:cc-by-nc-4.0, model-index, region:eu",,5904540,2025-10-29T15:01:34.726299Z
hf_Kijai/WanVideo_comfy,hf_model,Kijai/WanVideo_comfy,,https://huggingface.co/Kijai/WanVideo_comfy,"diffusion-single-file, comfyui, base_model:Wan-AI/Wan2.1-VACE-1.3B, base_model:finetune:Wan-AI/Wan2.1-VACE-1.3B, region:us",,5834547,2025-10-29T15:01:34.726299Z
hf_facebook/wav2vec2-base-960h,hf_model,facebook/wav2vec2-base-960h,,https://huggingface.co/facebook/wav2vec2-base-960h,"transformers, pytorch, tf, safetensors, wav2vec2, automatic-speech-recognition, audio, hf-asr-leaderboard, en, dataset:librispeech_asr, arxiv:2006.11477, license:apache-2.0, model-index, endpoints_compatible, region:us",,5771495,2025-10-29T15:01:34.726299Z
hf_distilbert/distilbert-base-uncased-finetuned-sst-2-english,hf_model,distilbert/distilbert-base-uncased-finetuned-sst-2-english,,https://huggingface.co/distilbert/distilbert-base-uncased-finetuned-sst-2-english,"transformers, pytorch, tf, rust, onnx, safetensors, distilbert, text-classification, en, dataset:sst2, dataset:glue, arxiv:1910.01108, doi:10.57967/hf/0181, license:apache-2.0, model-index, autotrain_compatible, endpoints_compatible, region:us",,5640951,2025-10-29T15:01:34.726299Z
hf_nlpaueb/legal-bert-base-uncased,hf_model,nlpaueb/legal-bert-base-uncased,,https://huggingface.co/nlpaueb/legal-bert-base-uncased,"transformers, pytorch, tf, jax, bert, pretraining, legal, fill-mask, en, license:cc-by-sa-4.0, endpoints_compatible, region:us",,5581333,2025-10-29T15:01:34.726299Z
hf_Isotonic/distilbert_finetuned_ai4privacy_v2,hf_model,Isotonic/distilbert_finetuned_ai4privacy_v2,,https://huggingface.co/Isotonic/distilbert_finetuned_ai4privacy_v2,"transformers, onnx, safetensors, distilbert, token-classification, generated_from_trainer, en, dataset:ai4privacy/pii-masking-200k, dataset:Isotonic/pii-masking-200k, base_model:distilbert/distilbert-base-uncased, base_model:quantized:distilbert/distilbert-base-uncased, license:cc-by-nc-4.0, autotrain_compatible, endpoints_compatible, region:us",,5462429,2025-10-29T15:01:34.726299Z
hf_coqui/XTTS-v2,hf_model,coqui/XTTS-v2,,https://huggingface.co/coqui/XTTS-v2,"coqui, text-to-speech, license:other, region:us",,5433846,2025-10-29T15:01:34.726299Z
hf_sentence-transformers/paraphrase-multilingual-mpnet-base-v2,hf_model,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,,https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2,"sentence-transformers, pytorch, tf, onnx, safetensors, openvino, xlm-roberta, feature-extraction, sentence-similarity, transformers, text-embeddings-inference, multilingual, ar, bg, ca, cs, da, de, el, en, es, et, fa, fi, fr, gl, gu, he, hi, hr, hu, hy, id, it, ja, ka, ko, ku, lt, lv, mk, mn, mr, ms, my, nb, nl, pl, pt, ro, ru, sk, sl, sq, sr, sv, th, tr, uk, ur, vi, arxiv:1908.10084, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",,5304355,2025-10-29T15:01:34.726299Z
hf_meta-llama/Llama-3.1-8B-Instruct,hf_model,meta-llama/Llama-3.1-8B-Instruct,,https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct,"transformers, safetensors, llama, text-generation, facebook, meta, pytorch, llama-3, conversational, en, de, fr, it, pt, hi, es, th, arxiv:2204.05149, base_model:meta-llama/Llama-3.1-8B, base_model:finetune:meta-llama/Llama-3.1-8B, license:llama3.1, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",,5234642,2025-10-29T15:01:34.726299Z
hf_cross-encoder/ms-marco-MiniLM-L6-v2,hf_model,cross-encoder/ms-marco-MiniLM-L6-v2,,https://huggingface.co/cross-encoder/ms-marco-MiniLM-L6-v2,"sentence-transformers, pytorch, jax, onnx, safetensors, openvino, bert, text-classification, transformers, text-ranking, en, dataset:sentence-transformers/msmarco, base_model:cross-encoder/ms-marco-MiniLM-L12-v2, base_model:quantized:cross-encoder/ms-marco-MiniLM-L12-v2, license:apache-2.0, region:us",,5183784,2025-10-29T15:01:34.726299Z
hf_sentence-transformers/all-MiniLM-L12-v2,hf_model,sentence-transformers/all-MiniLM-L12-v2,,https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2,"sentence-transformers, pytorch, rust, onnx, safetensors, openvino, bert, feature-extraction, sentence-similarity, transformers, en, dataset:s2orc, dataset:flax-sentence-embeddings/stackexchange_xml, dataset:ms_marco, dataset:gooaq, dataset:yahoo_answers_topics, dataset:code_search_net, dataset:search_qa, dataset:eli5, dataset:snli, dataset:multi_nli, dataset:wikihow, dataset:natural_questions, dataset:trivia_qa, dataset:embedding-data/sentence-compression, dataset:embedding-data/flickr30k-captions, dataset:embedding-data/altlex, dataset:embedding-data/simple-wiki, dataset:embedding-data/QQP, dataset:embedding-data/SPECTER, dataset:embedding-data/PAQ_pairs, dataset:embedding-data/WikiAnswers, arxiv:1904.06472, arxiv:2102.07033, arxiv:2104.08727, arxiv:1704.05179, arxiv:1810.09305, license:apache-2.0, autotrain_compatible, text-embeddings-inference, endpoints_compatible, region:us",,5158906,2025-10-29T15:01:34.726299Z
hf_dandelin/vilt-b32-mlm,hf_model,dandelin/vilt-b32-mlm,,https://huggingface.co/dandelin/vilt-b32-mlm,"transformers, pytorch, vilt, fill-mask, arxiv:2102.03334, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",,5135787,2025-10-29T15:01:34.726299Z
hf_google-bert/bert-base-multilingual-uncased,hf_model,google-bert/bert-base-multilingual-uncased,,https://huggingface.co/google-bert/bert-base-multilingual-uncased,"transformers, pytorch, tf, jax, safetensors, bert, fill-mask, multilingual, af, sq, ar, an, hy, ast, az, ba, eu, bar, be, bn, inc, bs, br, bg, my, ca, ceb, ce, zh, cv, hr, cs, da, nl, en, et, fi, fr, gl, ka, de, el, gu, ht, he, hi, hu, is, io, id, ga, it, ja, jv, kn, kk, ky, ko, la, lv, lt, roa, nds, lm, mk, mg, ms, ml, mr, min, ne, new, nb, nn, oc, fa, pms, pl, pt, pa, ro, ru, sco, sr, scn, sk, sl, aze, es, su, sw, sv, tl, tg, ta, tt, te, tr, uk, ud, uz, vi, vo, war, cy, fry, pnb, yo, dataset:wikipedia, arxiv:1810.04805, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us",,5009566,2025-10-29T15:01:34.726299Z
hf_jonatasgrosman/wav2vec2-large-xlsr-53-russian,hf_model,jonatasgrosman/wav2vec2-large-xlsr-53-russian,,https://huggingface.co/jonatasgrosman/wav2vec2-large-xlsr-53-russian,"transformers, pytorch, jax, wav2vec2, automatic-speech-recognition, audio, hf-asr-leaderboard, mozilla-foundation/common_voice_6_0, robust-speech-event, ru, speech, xlsr-fine-tuning-week, dataset:common_voice, dataset:mozilla-foundation/common_voice_6_0, doi:10.57967/hf/3571, license:apache-2.0, model-index, endpoints_compatible, region:us",,5002027,2025-10-29T15:01:34.726299Z
hf_autogluon/chronos-bolt-small,hf_model,autogluon/chronos-bolt-small,,https://huggingface.co/autogluon/chronos-bolt-small,"safetensors, t5, time series, forecasting, pretrained models, foundation models, time series foundation models, time-series, time-series-forecasting, arxiv:1910.10683, arxiv:2403.07815, license:apache-2.0, region:us",,4944292,2025-10-29T15:01:34.726299Z
hf_openai/gpt-oss-20b,hf_model,openai/gpt-oss-20b,,https://huggingface.co/openai/gpt-oss-20b,"transformers, safetensors, gpt_oss, text-generation, vllm, conversational, arxiv:2508.10925, license:apache-2.0, autotrain_compatible, endpoints_compatible, 8-bit, mxfp4, region:us",,4769961,2025-10-29T15:01:34.726299Z
hf_dphn/dolphin-2.9.1-yi-1.5-34b,hf_model,dphn/dolphin-2.9.1-yi-1.5-34b,,https://huggingface.co/dphn/dolphin-2.9.1-yi-1.5-34b,"transformers, safetensors, llama, text-generation, generated_from_trainer, axolotl, conversational, dataset:cognitivecomputations/Dolphin-2.9, dataset:teknium/OpenHermes-2.5, dataset:m-a-p/CodeFeedback-Filtered-Instruction, dataset:cognitivecomputations/dolphin-coder, dataset:cognitivecomputations/samantha-data, dataset:microsoft/orca-math-word-problems-200k, dataset:Locutusque/function-calling-chatml, dataset:internlm/Agent-FLAN, base_model:01-ai/Yi-1.5-34B, base_model:finetune:01-ai/Yi-1.5-34B, license:apache-2.0, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",,4717677,2025-10-29T15:01:34.726299Z
hf_Comfy-Org/Wan_2.1_ComfyUI_repackaged,hf_model,Comfy-Org/Wan_2.1_ComfyUI_repackaged,,https://huggingface.co/Comfy-Org/Wan_2.1_ComfyUI_repackaged,"diffusion-single-file, comfyui, region:us",,4666289,2025-10-29T15:01:34.726299Z
hf_tech4humans/yolov8s-signature-detector,hf_model,tech4humans/yolov8s-signature-detector,,https://huggingface.co/tech4humans/yolov8s-signature-detector,"ultralytics, tensorboard, onnx, object-detection, signature-detection, yolo, yolov8, pytorch, dataset:tech4humans/signature-detection, base_model:Ultralytics/YOLOv8, base_model:quantized:Ultralytics/YOLOv8, license:agpl-3.0, model-index, endpoints_compatible, region:us",,4651119,2025-10-29T15:01:34.726299Z
hf_sentence-transformers/paraphrase-MiniLM-L6-v2,hf_model,sentence-transformers/paraphrase-MiniLM-L6-v2,,https://huggingface.co/sentence-transformers/paraphrase-MiniLM-L6-v2,"sentence-transformers, pytorch, tf, onnx, safetensors, openvino, bert, feature-extraction, sentence-similarity, transformers, arxiv:1908.10084, license:apache-2.0, autotrain_compatible, text-embeddings-inference, endpoints_compatible, region:us",,4620206,2025-10-29T15:01:34.726299Z
hf_google/gemma-3-1b-it,hf_model,google/gemma-3-1b-it,,https://huggingface.co/google/gemma-3-1b-it,"transformers, safetensors, gemma3_text, text-generation, conversational, arxiv:1905.07830, arxiv:1905.10044, arxiv:1911.11641, arxiv:1904.09728, arxiv:1705.03551, arxiv:1911.01547, arxiv:1907.10641, arxiv:1903.00161, arxiv:2009.03300, arxiv:2304.06364, arxiv:2103.03874, arxiv:2110.14168, arxiv:2311.12022, arxiv:2108.07732, arxiv:2107.03374, arxiv:2210.03057, arxiv:2106.03193, arxiv:1910.11856, arxiv:2502.12404, arxiv:2502.21228, arxiv:2404.16816, arxiv:2104.12756, arxiv:2311.16502, arxiv:2203.10244, arxiv:2404.12390, arxiv:1810.12440, arxiv:1908.02660, arxiv:2312.11805, base_model:google/gemma-3-1b-pt, base_model:finetune:google/gemma-3-1b-pt, license:gemma, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us",,4504785,2025-10-29T15:01:34.726299Z
hf_BAAI/bge-large-en-v1.5,hf_model,BAAI/bge-large-en-v1.5,,https://huggingface.co/BAAI/bge-large-en-v1.5,"sentence-transformers, pytorch, onnx, safetensors, bert, feature-extraction, sentence-similarity, transformers, mteb, en, arxiv:2401.03462, arxiv:2312.15503, arxiv:2311.13534, arxiv:2310.07554, arxiv:2309.07597, license:mit, model-index, autotrain_compatible, text-embeddings-inference, endpoints_compatible, region:us",,4483269,2025-10-29T15:01:34.726299Z
hf_BAAI/bge-base-en-v1.5,hf_model,BAAI/bge-base-en-v1.5,,https://huggingface.co/BAAI/bge-base-en-v1.5,"sentence-transformers, pytorch, onnx, safetensors, bert, feature-extraction, sentence-similarity, transformers, mteb, en, arxiv:2401.03462, arxiv:2312.15503, arxiv:2311.13534, arxiv:2310.07554, arxiv:2309.07597, license:mit, model-index, autotrain_compatible, text-embeddings-inference, endpoints_compatible, region:us",,4442475,2025-10-29T15:01:34.726299Z
